index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1156,45505833-7ab5-40bc-84d0-8bebec649cc0,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,47,1,69,-1,-1,42,,"[quantity: (1, 1), time: (47, 49), unit_price: (35, 70)]",04Ind@2,06Ran@3,p3,04Ind@2,False,3,11,-1,,-1,-1
1161,04e4cb9c-b053-4172-945e-ead1fbfebb01,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,47,11,19,-1,-1,43,,"[quantity: (1, 12), time: (43, 47), unit_price: (1, 35)]",04Ind@2,07Buy@3,p3,07Buy@3,True,3,17,-1,,-1,-1
1152,d88042ab-660d-4cdd-bc3e-97907ea48e76,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,47,69,24,-1,-1,42,,"[quantity: (1, 69), time: (42, 47), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,2,-1,,-1,-1
966,487a0e89-8fb2-42ec-99c2-664def74248f,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,47,3,54,27,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
972,038b0cb5-3282-4e08-987c-7c236424c6b1,06Ran@3,BUYER,RandomAgent,_SystemAgent,47,3,54,27,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
968,c48dd7eb-d791-4889-9b06-941ffcad3690,06Ran@3,BUYER,RandomAgent,_SystemAgent,47,5,54,27,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1163,5ed635de-92af-497f-8e16-c26367a5d953,05MyA@2,06Ran@3,MyAgent,RandomAgent,47,1,66,44,-1,44,05MyA@2|06Ran@3,"[quantity: (1, 1), time: (44, 48), unit_price: (35, 69)]",05MyA@2,06Ran@3,p3,05MyA@2,False,3,11,47,,-1,-1
973,0fa26c2c-7767-41e1-bbef-dabf37dd009d,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,47,2,54,27,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
974,9b3782e7-beb7-4a79-b85e-5587d179a15c,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,47,5,54,27,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
967,e6daef43-e998-4e8f-b15e-88cf86a018d1,06Ran@3,BUYER,RandomAgent,_SystemAgent,47,2,54,27,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1107,cfcf7e35-3a80-41f8-a1c2-820a2fc807fa,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,48,3,53,38,-1,38,04Ind@2|07Buy@3,"[quantity: (1, 5), time: (43, 48), unit_price: (35, 70)]",04Ind@2,07Buy@3,p3,04Ind@2,False,3,17,-1,04Ind@2:product(0.6666666666666666),-1,-1
1160,5951f4f0-d3a0-48d4-9a95-851cc7a3a5d3,02Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,48,1,36,-1,-1,43,,"[quantity: (1, 5), time: (48, 49), unit_price: (24, 48)]",02Dec@1,04Ind@2,p2,02Dec@1,False,2,17,-1,,-1,-1
