index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
4598,2d8445af-ba1d-4d6b-a250-45ba4197cfb7,01Dec@0,03Dec@1,DecentralizingAgent,DecentralizingAgent,113,15,26,108,-1,108,01Dec@0|03Dec@1,"[quantity: (1, 15), time: (111, 116), unit_price: (18, 36)]",01Dec@0,03Dec@1,p1,01Dec@0,False,1,17,113,,-1,-1
4584,081f0afa-7dbc-44c9-829f-5f840d81314e,00Ind@0,02MyA@1,IndDecentralizingAgent,MyAgent,113,16,26,-1,-1,107,,"[quantity: (1, 16), time: (112, 117), unit_price: (18, 36)]",00Ind@0,02MyA@1,p1,00Ind@0,False,1,17,-1,,-1,-1
4578,6be3cc8d-226d-45a0-b260-0ece45aa4002,01Dec@0,03Dec@1,DecentralizingAgent,DecentralizingAgent,113,15,26,107,-1,107,01Dec@0|03Dec@1,"[quantity: (1, 15), time: (111, 116), unit_price: (18, 36)]",01Dec@0,03Dec@1,p1,01Dec@0,False,1,17,113,,-1,-1
4643,31f81a52-d49e-457d-a81b-d0c9764e568e,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,113,5,10,-1,-1,113,,"[quantity: (1, 5), time: (113, 113), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,-1,,-1,-1
4548,22717e89-beb2-4b59-aca5-f063e810be57,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,113,5,38,-1,-1,104,,"[quantity: (1, 5), time: (108, 113), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,-1,,-1,-1
3767,cc2cb9b6-f072-404f-97b1-afcfcb87e651,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,2,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
3772,c95ba38c-38bb-4f77-9d1d-1ef72a08d682,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,3,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,113,,-1,-1
3780,1b2f3141-e99e-4c5c-893a-9464ec65bf34,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
3779,648cb417-ddc6-452c-acac-e705137c5661,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,2,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
3778,a9910729-f974-4d59-a4e6-b0c46daaae9f,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,2,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,113,,-1,-1
3777,aab55a8d-e35c-4b91-8a22-6c17064eb133,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,2,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
3776,d083fd79-19e6-41fd-b3cf-47b3d16a7a39,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,113,2,10,58,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,113,,-1,-1
3775,65da779e-5829-4c73-bef5-0be7dd3a9438,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,1,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,113,,-1,-1
3774,8ded7095-28b8-459f-b6f0-676fb979e1d2,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,3,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,113,,-1,-1
3773,fcdcc96c-23c5-4fbe-ade5-e2c5c3187965,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
3771,4d5eb6fa-0c19-4a04-82f5-8d999518895c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,2,35,58,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,113,,-1,-1
