index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1326,724d0149-bd97-4ed5-98c8-1529f4b947f7,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,57,1,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,57,,-1,-1
1327,cb7f4863-cc11-48e2-8103-78813259e177,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,29,23,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 23), time: (2, 29), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.9565217391304348),-1,-1
1328,66e21a91-425d-4054-aa6a-144582d9f49d,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,15,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 15), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.4),-1,-1
1329,d5db90a3-5e04-480a-909b-6865edb3c553,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,57,2,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,57,,-1,-1
1330,330bfe4d-f0af-4bf7-909f-89b3228fce98,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,57,3,10,2,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,57,,-1,-1
1331,39abba4d-ee8c-4cf5-ac3d-584a8d0295b5,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,22,24,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 24), time: (2, 22), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.5833333333333334),-1,-1
1332,a2bf4a24-5bd2-4096-b05a-4184d304bb4f,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,14,22,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 22), time: (2, 14), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,14,,-1,-1
1333,b1978dbb-8678-43ff-a040-7ce6fd771e71,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,57,2,10,2,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,57,,-1,-1
1334,ecdacc04-9eb6-4824-a9f4-96bbe5b834af,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,57,1,10,2,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,57,,-1,-1
1335,ee3fec59-5114-4bba-8707-9d3edfcbb79b,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,40,24,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 24), time: (2, 40), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(1.0),-1,-1
1336,42d95176-1a59-48e9-9a0d-a2abab38893c,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,24,32,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 32), time: (2, 24), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.375),-1,-1
1337,47319ef2-3e96-46f5-bfc7-089ba242f991,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,25,26,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 26), time: (2, 25), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.6153846153846154),-1,-1
1338,d5161e4c-5505-481f-b492-e13a919f21ce,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,50,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 50), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.28),-1,-1
1339,a0b78485-da77-49e4-9f60-0b1512e183d3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,57,2,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,57,,-1,-1
1340,d880730d-b33b-4deb-b683-06283f6b8520,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,27,23,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 23), time: (2, 27), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.5652173913043478),-1,-1
1341,fa8b01f5-21b2-4f88-90d4-ace23e5bfc59,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,57,3,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,57,,-1,-1
1342,b6452287-8115-4304-9841-21178ba7b59f,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,53,26,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 26), time: (2, 53), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(1.0),-1,-1
1343,f1655920-0b75-451a-9bb1-767da71b9a47,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,20,22,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 22), time: (2, 20), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(1.0),-1,-1
1344,3bf23e9d-ddfd-4ff7-b4c4-1b69917fd260,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,59,27,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 27), time: (2, 59), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.6296296296296297),-1,-1
1345,9a1af730-16e6-4670-84be-90aa03784e3b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,58,3,10,3,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,58,,-1,-1
1346,7dff27db-cfee-4a22-9a34-bb4fa622d8d5,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,58,1,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,58,,-1,-1
