index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
582,2ac2c57d-798b-49eb-bb1a-ebe8acdc9fbf,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,25,1,11,21,-1,21,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (21, 25), unit_price: (1, 21)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
583,95bfb37a-2767-4897-b0c2-1d48c57f6c6c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,40,2,46,21,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
584,34485f03-7cbe-4955-a47b-3da0ddad6068,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,1,10,21,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,40,,-1,-1
585,5c0795ee-38a5-47c7-a760-6e1b02fa72d9,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,4,10,21,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,40,,-1,-1
586,9cd808f7-8026-4bcd-b9c0-b46884a3f92a,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,2,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,40,,-1,-1
587,4dfcde71-5791-49ce-ba41-869ce03756d7,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,2,10,21,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,40,,-1,-1
588,0c09256b-e023-4363-83c7-5397bfffa4c8,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,25,3,49,21,-1,21,03Dec@1|04Ind@2,"[quantity: (1, 3), time: (25, 30), unit_price: (32, 64)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(1.0),-1,-1
589,1adcbc6a-2407-4c63-80f1-37d7e9eec007,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,40,2,46,21,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
590,fa0eedcf-db82-4a22-8e2e-42b134448e3d,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,40,2,46,21,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
591,46751cb2-bfe1-4c96-8d23-db560c69fc76,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,3,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,40,,-1,-1
592,70b5cd84-6479-44c4-a66d-c04f427cd0b6,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,3,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,40,,-1,-1
593,dab8e8f9-0cfc-461d-9524-4a546b6911a1,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,3,10,22,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,41,,-1,-1
594,0b6e44a5-cce4-4d57-ac34-1c3941849b40,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,1,10,22,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,41,,-1,-1
595,27491749-7679-4658-a60d-248c2df8c432,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,26,1,11,22,-1,22,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (22, 26), unit_price: (1, 21)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
596,10b1f53f-5dee-4c97-a743-e82746d1a1d9,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,26,1,11,22,-1,22,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (22, 26), unit_price: (1, 21)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
597,7d1237f0-c7cb-4db0-bbff-2a3572087527,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,4,10,22,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,41,,-1,-1
598,0d991a44-ae07-4e94-ae92-1a2e62b1cb55,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,4,10,22,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,41,,-1,-1
