index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
873,3560cf2d-03c1-4822-b704-578eef85088a,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,28,4,1,26,-1,26,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (26, 28), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,8,-1,01Ran@0:product(1.0),-1,-1
874,25c0757c-4120-4919-82ea-a945aa5a7c5b,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,28,5,1,26,-1,26,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (26, 29), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,8,-1,01Ran@0:product(1.0),-1,-1
875,ca901d56-5760-4362-9166-c67a3e3e171e,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,46,1,10,26,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,46,,-1,-1
876,aa5aff68-ef07-441b-b7ef-cc9cbe571dba,SELLER,01Ran@0,_SystemAgent,RandomAgent,46,1,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,46,,-1,-1
877,02a03419-88fe-42bc-abdb-4158ccbc472d,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,46,2,10,26,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,46,,-1,-1
878,55f091e0-5345-46d4-804b-67ef9276a33e,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,29,1,1,26,-1,26,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (26, 30), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
879,87f0ea34-b57c-417c-8749-28cf713db498,SELLER,01Ran@0,_SystemAgent,RandomAgent,46,4,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,46,,-1,-1
880,75eeafe9-ea00-454d-b3fd-51473149ce4c,SELLER,01Ran@0,_SystemAgent,RandomAgent,46,2,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,46,,-1,-1
881,b66e520d-71c0-4ee5-a0d6-71159e15b668,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,29,5,7,27,-1,27,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (27, 29), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
882,d5b7407a-5111-4401-ab0c-9af2ec93d7a4,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,31,5,3,27,-1,27,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (27, 31), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,14,-1,01Ran@0:product(1.0),-1,-1
883,f7fd50c2-6743-4342-bf96-f3b0d2b7bac7,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,47,3,10,27,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,47,,-1,-1
884,c2c3fea5-46a8-48b5-b588-f8d884c8911b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,47,2,10,27,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,47,,-1,-1
885,610a7856-56fc-4f2e-9c25-8a863aa59b82,SELLER,01Ran@0,_SystemAgent,RandomAgent,47,2,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,47,,-1,-1
886,ec49140c-0b96-4006-b874-1ffe3b70302b,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,35,5,41,27,-1,27,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (30, 35), unit_price: (27, 54)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,35,,-1,-1
887,d32c901e-7491-4105-9d96-354ab27e5f1c,SELLER,01Ran@0,_SystemAgent,RandomAgent,47,1,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,47,,-1,-1
888,aa41cb41-c691-4474-8675-06b3abbdcd65,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,47,3,10,27,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,47,,-1,-1
889,c332e2e9-9c71-44b7-9152-74f390e31078,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,29,4,3,27,-1,27,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (27, 29), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,14,-1,01Ran@0:product(1.0),-1,-1
890,c8060a43-c1ae-4f33-9ccf-e24db738a6eb,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,47,2,10,27,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,47,,-1,-1
891,fc763dd2-8a43-48d0-b1f8-db161f5deb0f,SELLER,01Ran@0,_SystemAgent,RandomAgent,47,2,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,47,,-1,-1
892,f0e575f0-e1e3-4695-804c-fc06bebc6464,SELLER,01Ran@0,_SystemAgent,RandomAgent,47,2,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,47,,-1,-1
893,f9d1e95f-75ad-4b64-9c62-53e658f4c183,SELLER,01Ran@0,_SystemAgent,RandomAgent,47,1,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,47,,-1,-1
894,ee29e998-eeca-4bba-8e51-929e51d72626,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,47,1,10,27,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,47,,-1,-1
895,e3c1e43d-4f3f-4299-9852-21432218e0d5,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,47,1,10,27,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,47,,-1,-1
896,d88b06a9-7e89-42c7-8536-8c404d48e927,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,32,5,40,27,-1,27,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (32, 37), unit_price: (27, 54)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,32,,-1,-1
897,6d235401-c4b9-4610-b045-d1511c7c3e82,SELLER,01Ran@0,_SystemAgent,RandomAgent,48,2,10,28,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,48,,-1,-1
898,ea79fe5c-23e6-49be-93e5-339e202f2241,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,1,10,28,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,48,,-1,-1
899,d05d8417-0af6-4d72-9588-99cf5102fe6a,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,29,5,8,28,-1,28,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (28, 31), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
900,b1348e9e-99d8-4e0b-b317-17253b45c3ac,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,2,10,28,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,48,,-1,-1
901,facbe562-1900-4bb4-970c-acc6da390bd2,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,3,10,28,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,48,,-1,-1
902,d16d651b-c495-4878-ab6d-01cd79d461cd,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,30,5,8,28,-1,28,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (28, 32), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
903,3076c4bf-c02a-4c8b-9cbf-c15bfedea8fa,SELLER,01Ran@0,_SystemAgent,RandomAgent,48,3,10,28,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,48,,-1,-1
904,82dfe75e-85fa-4478-99b2-b298ce58e26a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,2,10,28,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,48,,-1,-1
905,7d2eb865-3aa9-49a7-b0fc-566e6a0bebcf,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,31,1,2,28,-1,28,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (28, 31), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,13,-1,01Ran@0:product(1.0),-1,-1
906,4c035eda-0189-415f-ae55-3ffda71c171d,SELLER,01Ran@0,_SystemAgent,RandomAgent,48,2,10,28,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,48,,-1,-1
907,7db380c0-f650-4161-88b6-93f16b6b2a8c,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,37,5,41,28,-1,28,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (32, 37), unit_price: (27, 54)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,37,,-1,-1
908,4bc27629-1997-4dac-bb87-96ae11774090,SELLER,01Ran@0,_SystemAgent,RandomAgent,48,2,10,28,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,48,,-1,-1
909,cc6b90ad-416d-4332-884c-13ba3fd62f11,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,2,10,28,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,48,,-1,-1
