,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
269,2,69,20,10.0,3,15.0,26,19.80769230769231
270,2,70,20,10.0,11,23.0,0,
271,2,71,20,10.0,38,17.94736842105263,9,15.0
272,2,72,20,10.0,51,23.0,19,21.52631578947368
273,2,73,20,10.0,16,22.75,25,18.64
274,2,74,20,10.0,44,17.454545454545453,23,37.0
275,2,75,20,10.0,9,8.0,5,36.0
276,2,76,20,10.0,19,23.0,13,24.923076923076927
277,2,77,20,10.0,16,14.125,19,21.52631578947368
278,2,78,20,10.0,14,20.0,17,24.411764705882355
279,2,79,20,10.0,2,8.0,0,
280,2,80,20,10.0,19,21.42105263157895,13,25.84615384615385
281,2,81,20,10.0,15,22.0,18,28.16666666666667
282,2,82,20,10.0,32,17.125,12,19.0
283,2,83,20,10.0,15,23.0,17,22.764705882352942
284,2,84,20,10.0,50,18.28,9,17.0
285,2,85,20,10.0,0,,6,24.0
286,2,86,20,10.0,2,8.0,13,21.69230769230769
287,2,87,20,10.0,13,19.846153846153847,30,18.53333333333333
288,2,88,20,10.0,1,22.0,5,35.0
289,2,89,20,10.0,0,,7,30.42857142857143
290,2,90,20,10.0,11,23.0,7,15.0
291,2,91,20,10.0,67,18.119402985074625,10,16.0
292,2,92,20,10.0,12,22.0,10,32.9
293,2,93,20,10.0,14,20.857142857142858,8,16.125
294,2,94,20,10.0,12,23.0,18,17.0
295,2,95,20,10.0,3,23.0,4,25.5
296,2,96,20,10.0,0,,16,19.5
297,2,97,20,10.0,18,22.66666666666667,29,31.068965517241377
298,2,98,20,10.0,39,17.94871794871795,6,27.5
299,2,99,20,10.0,41,16.024390243902435,0,
300,2,100,20,10.0,12,20.5,0,
301,2,101,20,10.0,13,20.69230769230769,0,
302,2,102,20,10.0,14,19.0,23,21.82608695652174
303,2,103,20,10.0,16,22.0,14,17.714285714285715
304,2,104,20,10.0,13,21.846153846153847,6,37.833333333333336
305,2,105,20,10.0,8,22.0,10,24.8
306,2,106,20,10.0,19,16.473684210526315,2,38.0
307,2,107,20,10.0,37,18.45945945945946,9,22.66666666666667
308,2,108,20,10.0,16,22.1875,30,20.2
309,2,109,20,10.0,17,20.58823529411765,3,30.0
310,2,110,20,10.0,0,,40,23.05
311,2,111,20,10.0,27,18.740740740740737,13,30.30769230769231
312,2,112,20,10.0,0,,15,24.0
313,2,113,20,10.0,26,19.115384615384613,2,36.0
314,2,114,20,10.0,47,16.872340425531913,17,21.823529411764707
315,2,115,20,10.0,27,18.0,9,19.0
316,2,116,20,10.0,0,,10,23.8
317,2,117,20,10.0,14,20.0,0,
318,2,118,20,10.0,2,8.0,1,26.0
319,2,119,20,10.0,12,22.0,14,22.92857142857143
320,2,120,20,10.0,0,,3,34.0
321,2,121,20,10.0,51,23.0,19,17.736842105263158
322,2,122,20,10.0,12,23.0,8,13.0
323,2,123,20,10.0,49,14.653061224489793,7,19.0
324,2,124,20,10.0,2,8.0,25,28.8
325,2,125,20,10.0,13,20.69230769230769,14,15.142857142857142
326,2,126,20,10.0,4,8.0,11,26.181818181818183
327,2,127,20,10.0,13,19.846153846153847,1,34.0
328,2,128,20,10.0,12,22.0,17,19.0
329,2,129,20,10.0,38,22.210526315789476,9,19.33333333333333
330,2,130,20,10.0,0,,19,29.63157894736842
331,2,131,20,10.0,13,23.0,25,22.32
332,2,132,20,10.0,11,23.0,0,
333,2,133,20,10.0,16,23.0,16,18.8125
334,2,134,20,10.0,10,22.0,9,36.66666666666666
335,2,135,20,10.0,6,23.0,9,18.0
336,2,136,20,10.0,23,15.0,0,
337,2,137,20,10.0,53,15.0,22,31.13636363636364
338,2,138,20,10.0,13,18.69230769230769,12,23.75
339,2,139,20,10.0,9,18.88888888888889,5,34.0
340,2,140,20,10.0,24,22.0,9,19.0
341,2,141,20,10.0,28,18.428571428571427,2,37.0
342,2,142,20,10.0,14,23.0,6,19.0
343,2,143,20,10.0,0,,14,15.5
344,2,144,20,10.0,38,20.05263157894737,0,
345,2,145,20,10.0,8,13.25,12,25.33333333333333
346,2,146,20,10.0,0,,47,28.0
347,2,147,20,10.0,4,8.0,19,26.210526315789476
348,2,148,20,10.0,0,,10,17.0
349,2,149,20,10.0,13,22.0,4,17.0
350,2,150,20,10.0,29,18.03448275862069,0,
351,2,151,20,10.0,60,19.216666666666665,14,25.42857142857143
352,2,152,20,10.0,23,20.391304347826086,6,16.0
353,2,153,20,10.0,15,21.0,14,25.07142857142857
354,2,154,20,10.0,0,,25,16.72
355,2,155,20,10.0,5,23.0,8,17.0
356,2,156,20,10.0,7,18.0,15,29.066666666666666
357,2,157,20,10.0,20,20.6,14,20.928571428571427
358,2,158,20,10.0,0,,5,35.0
359,2,159,20,10.0,65,15.93846153846154,12,18.5
360,2,160,20,10.0,19,18.263157894736842,27,25.296296296296298
361,2,161,20,10.0,10,23.0,10,26.5
362,2,162,20,10.0,18,22.33333333333333,6,18.0
363,2,163,20,10.0,13,23.0,1,38.0
364,2,164,20,10.0,17,22.0,21,21.142857142857142
365,2,165,20,10.0,14,22.0,22,27.90909090909091
366,2,166,20,10.0,0,,10,27.9
367,2,167,20,10.0,44,17.181818181818183,11,20.63636363636364
368,2,168,20,10.0,23,15.0,1,36.0
369,2,169,20,10.0,21,23.0,12,25.25
370,2,170,20,10.0,11,23.0,30,33.6
371,2,171,20,10.0,11,23.0,29,18.03448275862069
372,2,172,20,10.0,26,21.846153846153847,9,19.0
373,2,173,20,10.0,18,22.722222222222218,27,18.592592592592588
374,2,174,20,10.0,15,18.33333333333333,9,18.0
375,2,175,20,10.0,14,22.0,17,24.176470588235286
376,2,176,20,10.0,31,17.70967741935484,20,30.1
377,2,177,20,10.0,43,16.790697674418606,4,38.0
378,2,178,20,10.0,47,16.936170212765962,9,37.0
379,2,179,20,10.0,13,19.846153846153847,0,
380,2,180,20,10.0,11,22.0,3,15.0
381,2,181,20,10.0,17,22.0,10,18.0
382,2,182,20,10.0,2,8.0,20,20.3
383,2,183,20,10.0,17,23.0,3,36.66666666666666
384,2,184,20,10.0,11,23.0,16,18.25
385,2,185,20,10.0,35,17.2,4,37.0
386,2,186,20,10.0,33,15.363636363636365,0,
387,2,187,20,10.0,0,,0,
388,2,188,20,10.0,14,18.0,0,
389,2,189,20,10.0,2,8.0,0,
390,2,190,20,10.0,0,,0,
391,2,191,20,10.0,18,23.0,0,
392,2,192,20,10.0,2,8.0,0,
393,2,193,20,10.0,0,,0,
394,2,194,20,10.0,13,23.0,0,
395,2,195,20,10.0,0,,0,
396,2,196,19,10.0,2,8.0,0,
397,2,197,0,,0,,0,
398,2,198,0,,0,,0,
399,2,199,0,,0,,0,
400,3,0,20,10.0,0,,0,
401,3,1,20,10.0,0,,55,2.345454545454545
402,3,2,20,10.0,24,16.666666666666668,47,3.3829787234042548
403,3,3,20,10.0,37,25.135135135135137,69,2.855072463768116
404,3,4,20,10.0,30,14.0,74,3.2972972972972983
405,3,5,20,10.0,24,19.166666666666668,45,3.2444444444444445
406,3,6,20,10.0,61,29.78688524590164,10,3.8
407,3,7,20,10.0,39,17.76923076923077,59,3.4745762711864407
408,3,8,20,10.0,20,36.25,49,2.142857142857143
409,3,9,20,10.0,45,31.4,31,2.1935483870967745
410,3,10,20,10.0,41,27.292682926829272,35,5.057142857142857
411,3,11,20,10.0,20,37.50000000000001,40,3.725
412,3,12,20,10.0,42,29.04761904761905,43,1.4651162790697674
413,3,13,20,10.0,38,17.263157894736842,14,5.928571428571429
414,3,14,20,10.0,0,,42,3.7142857142857135
415,3,15,20,10.0,20,18.6,6,1.0
416,3,16,20,10.0,61,19.24590163934426,44,3.2954545454545454
417,3,17,20,10.0,18,34.166666666666664,9,5.0
418,3,18,20,10.0,24,31.20833333333333,50,1.8
419,3,19,20,10.0,60,19.7,26,2.230769230769231
420,3,20,20,10.0,80,23.6875,13,3.2307692307692313
421,3,21,20,10.0,58,22.53448275862069,9,7.0
422,3,22,20,10.0,38,17.0,18,7.611111111111112
423,3,23,20,10.0,8,20.25,22,1.681818181818182
424,3,24,20,10.0,39,28.384615384615387,57,8.070175438596491
425,3,25,20,10.0,73,19.671232876712327,25,4.68
426,3,26,20,10.0,30,30.53333333333333,59,2.694915254237288
427,3,27,20,10.0,22,22.40909090909091,45,2.2888888888888888
