index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
51,"BUYER, 07Buy@3 agreed on {'time': 5, 'quantity': 2, 'unit_price': 41} [id 27b6e759-91bc-4a1c-a572-3d64ee2fad47]",27b6e759-91bc-4a1c-a572-3d64ee2fad47,product,1.0,7700e62b-81b7-4059-9341-ef314be60cce,07Buy@3,str,['BUYER'],-1,False
52,"BUYER, 07Buy@3 agreed on {'time': 5, 'quantity': 7, 'unit_price': 41} [id f3577f17-41ab-4d87-a9fe-8c8f2b9295f9]",f3577f17-41ab-4d87-a9fe-8c8f2b9295f9,product,1.0,fafe0a13-2b4e-4849-8d7c-bd04a75a0a5b,07Buy@3,str,['BUYER'],-1,False
53,"07Buy@3, 04Ran@2 agreed on {'quantity': 5, 'time': 6, 'unit_price': 3} [id dbc8fb63-e450-415d-a0f5-b68db5ed8e05]",dbc8fb63-e450-415d-a0f5-b68db5ed8e05,product,1.0,cf27a093-0439-45db-a3b9-564e9cad0625,04Ran@2,str,['07Buy@3'],-1,False
54,"07Buy@3, 04Ran@2 agreed on {'quantity': 5, 'time': 6, 'unit_price': 1} [id bafae1fc-aaec-4522-8d4d-69d1120eca49]",bafae1fc-aaec-4522-8d4d-69d1120eca49,product,1.0,377791a4-6417-483c-a812-b1c1a033c254,04Ran@2,str,['07Buy@3'],-1,False
55,"07Buy@3, 05Ran@2 agreed on {'quantity': 12, 'time': 6, 'unit_price': 5} [id e1d950f1-dcdf-4131-8413-17f7991ffb05]",e1d950f1-dcdf-4131-8413-17f7991ffb05,product,1.0,5460e5c7-f277-4209-b854-ac4bd96167b4,05Ran@2,str,['07Buy@3'],-1,False
56,"07Buy@3, 05Ran@2 agreed on {'quantity': 11, 'time': 6, 'unit_price': 9} [id e2ab8af3-6db5-4bdb-b2f4-962ce61019e9]",e2ab8af3-6db5-4bdb-b2f4-962ce61019e9,product,1.0,25591a3a-50fc-4bc7-bce6-e7ab9d276f25,05Ran@2,str,['07Buy@3'],-1,False
57,"07Buy@3, 05Ran@2 agreed on {'quantity': 4, 'time': 6, 'unit_price': 2} [id 33cd03f8-8c34-42d0-8699-a5e99e3c5e9b]",33cd03f8-8c34-42d0-8699-a5e99e3c5e9b,product,1.0,91373997-5f23-457c-a341-de1c0882ce6f,05Ran@2,str,['07Buy@3'],-1,False
58,"06Dec@3, 04Ran@2 agreed on {'quantity': 5, 'time': 6, 'unit_price': 2} [id 517ef024-9034-4593-a7f1-82ada6c077c7]",517ef024-9034-4593-a7f1-82ada6c077c7,product,1.0,5e288014-17d2-4f22-b352-33424e12c45b,04Ran@2,str,['06Dec@3'],-1,False
59,"06Dec@3, 04Ran@2 agreed on {'quantity': 8, 'time': 6, 'unit_price': 2} [id a619f264-de13-48de-93ed-d7ec965166b7]",a619f264-de13-48de-93ed-d7ec965166b7,product,1.0,bc58d88c-37db-466f-8328-76838bac293d,04Ran@2,str,['06Dec@3'],-1,False
60,"06Dec@3, 05Ran@2 agreed on {'quantity': 8, 'time': 6, 'unit_price': 9} [id 24cbe558-b8a4-4bd1-898d-0b9979395a2b]",24cbe558-b8a4-4bd1-898d-0b9979395a2b,product,1.0,7c02342f-7c59-472a-b620-2821f680ff2b,05Ran@2,str,['06Dec@3'],-1,False
61,"06Dec@3, 05Ran@2 agreed on {'quantity': 5, 'time': 6, 'unit_price': 1} [id 9e088ad7-cd0a-450f-bead-485069235830]",9e088ad7-cd0a-450f-bead-485069235830,product,1.0,5feef045-df4d-480c-9080-c904ead3dfa2,05Ran@2,str,['06Dec@3'],-1,False
62,"07Buy@3, 04Ran@2 agreed on {'quantity': 6, 'time': 6, 'unit_price': 7} [id 23a6cdbf-a05a-487b-8a57-41350ff795ff]",23a6cdbf-a05a-487b-8a57-41350ff795ff,product,1.0,ed9d332f-704a-4fcb-bcfb-bd90b6d7f33f,04Ran@2,str,['07Buy@3'],-1,False
63,"06Dec@3, 04Ran@2 agreed on {'quantity': 8, 'time': 6, 'unit_price': 3} [id 703711c6-db15-4903-928a-611a81652499]",703711c6-db15-4903-928a-611a81652499,product,1.0,f446e3eb-b437-4312-aa77-76cad1b7917a,04Ran@2,str,['06Dec@3'],-1,False
64,"BUYER, 07Buy@3 agreed on {'time': 6, 'quantity': 2, 'unit_price': 41} [id bdca1792-99f5-4712-9e4d-910dfb67ed00]",bdca1792-99f5-4712-9e4d-910dfb67ed00,product,1.0,5ef1558e-6618-46b3-9b28-f29a5632784c,07Buy@3,str,['BUYER'],-1,False
65,"BUYER, 07Buy@3 agreed on {'time': 6, 'quantity': 6, 'unit_price': 41} [id 6949e735-0221-4009-8d15-2164c2243aff]",6949e735-0221-4009-8d15-2164c2243aff,product,1.0,3c198824-001d-44a4-abc1-c15ba9720df3,07Buy@3,str,['BUYER'],-1,False
66,"BUYER, 07Buy@3 agreed on {'time': 6, 'quantity': 3, 'unit_price': 41} [id c4a514e0-d3ea-48e6-9d35-5be434c535da]",c4a514e0-d3ea-48e6-9d35-5be434c535da,product,1.0,b16c6786-ba6d-4970-806f-eeaf3d67d715,07Buy@3,str,['BUYER'],-1,False
67,"BUYER, 07Buy@3 agreed on {'time': 6, 'quantity': 1, 'unit_price': 41} [id c69787e4-597d-46b6-bf09-e05edf416531]",c69787e4-597d-46b6-bf09-e05edf416531,product,1.0,8229594f-9172-4291-9690-6de4de5f3584,07Buy@3,str,['BUYER'],-1,False
