index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1133,c08abc6d-1565-4325-bbec-7eb4903c92af,05Ran@2,BUYER,RandomAgent,_SystemAgent,49,1,34,4,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1134,d4fbb2db-ec37-466f-8bda-d9d4b75b44e0,05Ran@2,BUYER,RandomAgent,_SystemAgent,49,4,34,4,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1135,b2ef0ff5-08a4-4872-b3a6-9218e6d7ce17,01Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,11,20,28,4,-1,4,01Dec@0|02Ind@1,"[quantity: (1, 20), time: (9, 14), unit_price: (18, 36)]",01Dec@0,02Ind@1,p1,01Dec@0,False,1,17,11,,-1,-1
1136,6acfe0e4-0768-4810-b7ea-f856a938c8c3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1137,808dc8ec-1812-43ac-86e1-34dea744615d,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,3,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1138,a4f1ab8b-0948-4d5d-b2d7-1e62bf2b0c7b,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,4,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1139,3262887d-6c83-489f-bd44-8c3fb3c82936,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,49,4,10,4,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1140,6bf2b70d-0e63-4bda-be32-7098c9121ecf,05Ran@2,BUYER,RandomAgent,_SystemAgent,49,1,34,4,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1141,15aa2245-fe20-4123-a2e3-07d3205435e1,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,8,12,26,4,-1,4,04Dec@2|02Ind@1,"[quantity: (1, 12), time: (4, 8), unit_price: (1, 26)]",02Ind@1,04Dec@2,p2,04Dec@2,True,2,2,8,,-1,-1
1142,76e8ecdf-1b6e-4164-996c-064a357d9de0,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,4,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,49,,-1,-1
