index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1974,3733d59d-312b-4839-b6cd-b5aa4457cd5c,02Dec@1,05Ran@2,DecentralizingAgent,RandomAgent,59,12,40,57,-1,57,02Dec@1|05Ran@2,"[quantity: (1, 28), time: (57, 60), unit_price: (29, 58)]",02Dec@1,05Ran@2,p2,02Dec@1,False,2,2,59,,-1,-1
1975,4942e6b2-021f-49bc-a394-f0eb97edd4a4,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,111,1,10,57,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,111,,-1,-1
1976,8bc3cc59-c361-487e-89db-d6d717cd98a0,01Dec@0,03Ind@1,DecentralizingAgent,IndDecentralizingAgent,67,8,35,57,-1,57,01Dec@0|03Ind@1,"[quantity: (1, 9), time: (62, 67), unit_price: (23, 46)]",01Dec@0,03Ind@1,p1,01Dec@0,False,1,17,67,,-1,-1
1977,155f5083-f090-4470-8119-2665dd43aaf7,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,111,1,10,57,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,111,,-1,-1
1978,69052592-931f-4266-894e-234ae1c772be,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,111,4,10,57,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,111,,-1,-1
1979,1e0ff1c6-69fa-49ac-9a7f-d5a9e938ee33,05Ran@2,BUYER,RandomAgent,_SystemAgent,111,1,38,57,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1980,86a92db7-13f1-4254-a263-0e95e01b9537,05Ran@2,BUYER,RandomAgent,_SystemAgent,111,1,38,57,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1981,f3e81b61-5458-4219-9d98-95ad49f63b1b,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,111,5,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,111,,-1,-1
1982,8b1c7bbc-6394-4723-ad97-39d24e1e880f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,112,2,10,58,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,112,,-1,-1
1983,d47bfa1b-6b38-4828-b9b9-802db8c4c550,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,2,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
