index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
926,d05fe683-a22c-44ce-a198-c9358090df14,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,4,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
927,4432c865-a620-463e-bdcb-59e1b4fea836,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,2,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,43,,-1,-1
928,0a7ee868-0fb6-4920-81e2-7c9c18af6304,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,2,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,43,,-1,-1
929,7b2c2b75-f7da-4f4d-b795-7386e57fed15,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,1,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,43,,-1,-1
930,93c18d15-e98b-4e96-aabd-29b02958fdda,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,3,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,43,,-1,-1
931,3e67714b-e963-4d5c-a367-905a831ed345,SELLER,01Ran@0,_SystemAgent,RandomAgent,43,1,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,43,,-1,-1
932,19b489a4-226c-4f2a-b363-7ecc5f712806,SELLER,01Ran@0,_SystemAgent,RandomAgent,43,2,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,43,,-1,-1
933,842152ad-6777-4c5b-95cc-0b2223536b38,03Buy@1,05Ran@2,BuyCheapSellExpensiveAgent,RandomAgent,30,2,22,26,-1,26,05Ran@2|03Buy@1,"[quantity: (1, 7), time: (26, 30), unit_price: (1, 22)]",03Buy@1,05Ran@2,p2,05Ran@2,True,2,12,-1,03Buy@1:product(1.0),-1,-1
934,02197626-fceb-49b8-866b-5db4213175cb,05Ran@2,BUYER,RandomAgent,_SystemAgent,43,1,29,26,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
935,eba56b79-9275-4585-aa7d-7007bd791dae,00Ind@0,03Buy@1,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,36,13,23,26,-1,26,00Ind@0|03Buy@1,"[quantity: (1, 16), time: (31, 36), unit_price: (15, 30)]",00Ind@0,03Buy@1,p1,00Ind@0,False,1,17,36,,-1,-1
