index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1931,d61d6d77-c88c-439a-82fb-f5ebbebc39e8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,1,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1932,56a9af73-d05a-4632-bb1d-0ac9f22c1585,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,3,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1933,39ce8275-337a-45d9-938d-da87cf48f912,SELLER,00Ran@0,_SystemAgent,RandomAgent,97,2,10,30,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1934,c370543c-8329-481e-bee9-96788060feac,SELLER,01Ran@0,_SystemAgent,RandomAgent,97,3,10,30,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1935,71c99f04-3eeb-495a-aff2-aaa4fdcdaf09,SELLER,00Ran@0,_SystemAgent,RandomAgent,97,1,10,30,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1936,a9a9774a-692d-4e9d-a079-7887676c018b,SELLER,00Ran@0,_SystemAgent,RandomAgent,97,1,10,30,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,97,,-1,-1
1937,793a90cd-2c9b-47f6-b685-af1158cb8217,SELLER,00Ran@0,_SystemAgent,RandomAgent,97,2,10,30,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,97,,-1,-1
1938,a88278c0-b665-4b6d-9aae-63df18b107eb,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1939,1e5f0e92-0514-404c-9366-2430831841d5,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,98,5,40,31,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1940,8f630caf-2034-4e79-8b49-099a5873c940,SELLER,01Ran@0,_SystemAgent,RandomAgent,98,2,10,31,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1941,170bd406-f391-42f9-9c91-4640a051e1e6,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,2,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,98,,-1,-1
1942,e73d01a6-8e1f-48af-8cb2-abed2115a255,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,98,,-1,-1
1943,876d18a2-9a8e-4150-ba93-f04848f886b7,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,4,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1944,9168ba35-7ac8-4b54-b772-49c80bd8a520,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1945,cebf9f73-0596-4c8f-a77d-56de89b7b29e,SELLER,01Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,98,,-1,-1
1946,5a559500-087f-48e7-845a-57e3b574cfd5,01Ran@0,02Ind@1,RandomAgent,IndDecentralizingAgent,33,5,1,31,-1,31,02Ind@1|01Ran@0,"[quantity: (1, 5), time: (31, 35), unit_price: (1, 17)]",01Ran@0,02Ind@1,p1,02Ind@1,True,1,7,-1,01Ran@0:product(1.0),-1,-1
1947,61cad61e-6c6f-4cf0-8cd1-07f1f580b1f8,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,3,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,98,,-1,-1
1948,537421f3-8904-4510-96f6-46d13fab64cf,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1949,6b6e3c84-6c50-42a9-87f5-c60730f093b8,SELLER,01Ran@0,_SystemAgent,RandomAgent,98,2,10,31,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1950,85f34aec-2114-4b71-8445-b1fb752b432b,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,98,2,40,31,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1951,66c5cfeb-c22a-4b21-a813-4f781467bf9f,SELLER,00Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1952,7caea1ee-52d3-4f5b-9922-b383d60dfdb5,SELLER,01Ran@0,_SystemAgent,RandomAgent,98,1,10,31,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,98,,-1,-1
1953,0e041224-0487-4dd3-8e9e-995354ce8057,SELLER,01Ran@0,_SystemAgent,RandomAgent,99,3,10,32,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,99,,-1,-1
1954,05484866-c0e6-4953-80e9-750b6e3e0862,SELLER,00Ran@0,_SystemAgent,RandomAgent,99,1,10,32,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,99,,-1,-1
1955,3f859f68-75e8-4eea-a295-5b6b28b99f3c,SELLER,01Ran@0,_SystemAgent,RandomAgent,99,1,10,32,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,99,,-1,-1
