index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
463,0d61a6fb-850b-44f7-acf6-2aeecc7c16a0,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,2,36,15,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
464,6f1daab5-47ad-453c-b6b5-54680cc1f8ea,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,1,36,15,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
465,c7b6332f-df01-4e58-9842-e4e1c9f636e9,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,37,4,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,37,,-1,-1
466,60a4f593-7e7c-467e-9575-6d76b935c9d4,02Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,23,5,41,15,-1,15,02Dec@1|05Dec@2,"[quantity: (1, 5), time: (18, 23), unit_price: (28, 56)]",02Dec@1,05Dec@2,p2,02Dec@1,False,2,17,23,,-1,-1
467,59b6bfc3-39a3-4966-8a30-6476160e38bb,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,37,1,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,37,,-1,-1
468,8a18260d-2a39-4bbf-8729-7daece6c6363,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,37,4,36,15,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,37,,-1,-1
469,cd8d1e32-b8ff-4cdd-853c-2a71f78c7f77,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,4,36,15,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
470,c8f0e2a6-b29c-4581-b334-6af3b03bad1c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,37,5,36,15,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,37,,-1,-1
471,d965c7ed-be02-4358-80aa-d1750b60abd4,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,23,4,41,15,-1,15,03Dec@1|04Buy@2,"[quantity: (1, 4), time: (18, 23), unit_price: (28, 56)]",03Dec@1,04Buy@2,p2,03Dec@1,False,2,17,23,,-1,-1
472,3870dcd3-82f8-479d-a0ba-de18a7e6ec6b,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,37,3,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,37,,-1,-1
