index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
728,bc29546d-6f9f-410d-8af3-1768f93a74bd,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,49,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
729,945f5ba4-7866-488d-b0fd-eeebf6747a4c,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,17,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,17,,-1,-1
730,4bb39fd3-66ce-44fd-a4a2-7221be6bf126,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,12,3,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,12,,-1,-1
731,cbb181e7-70e3-45bc-bf56-bbd99f7a167c,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,17,1,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
732,deaaba09-50d5-4e83-9efe-4ee77bbf4c35,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,24,1,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,24,,-1,-1
733,59be1acd-b491-4cb2-b925-e9ea308b40fd,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,26,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
734,8d77a11b-e0a8-486e-a7bc-d08a146e69d0,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,31,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
735,a74276c8-628d-493b-aca1-67ae38c979d3,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,5,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,5,,-1,-1
736,cc294270-f2b7-465f-b0ec-b09d5a207b07,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,14,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
737,9b2d9128-6b62-469c-b34e-e53e9f37cea4,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,17,3,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
738,a2797ca9-bc7f-4292-ba52-8e6994343b47,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,12,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
739,70b43a80-5754-4138-b9ed-ba4c2e8b2e85,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,36,3,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
740,2520be40-8c52-4ed6-829f-de207eebde00,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,14,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,14,,-1,-1
741,9183bf8f-b2ca-46a7-bbd8-7795ab98490b,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,32,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
742,af49b802-bc30-456b-aa66-f4d9f50258c1,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,37,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,37,,-1,-1
743,0a6349f2-5e5f-4ddb-9544-96968e21ebcc,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,3,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,3,,-1,-1
744,7c33a299-31a1-410a-ae83-89979fbb5d45,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,12,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,12,,-1,-1
745,c61d1451-7106-4a86-977f-ba919359fc76,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,31,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,31,,-1,-1
746,ee41cef0-d342-473e-83ae-8a878f3599ff,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,37,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,37,,-1,-1
747,cd76aaa7-0043-4c7d-a070-3362baed47a4,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,20,2,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,20,,-1,-1
748,f209a76c-28ed-4b0a-8749-2459a6cf67fc,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,22,1,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,22,,-1,-1
749,c84ed17a-4b36-4aa8-9067-9945c40b7286,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,36,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,36,,-1,-1
750,bb473200-3b94-4207-9b87-470b3487be73,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,32,2,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
751,80faad24-150c-4b7e-84f4-31c853f04f16,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,38,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,38,,-1,-1
752,cf4269c3-daba-4bc8-a474-ff91f3fdc366,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,14,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
753,1dce79da-bcac-46bd-bf5e-618934702df9,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,44,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,44,,-1,-1
754,e10e6bfd-50bd-4f69-9e9a-eee514713b08,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,34,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,34,,-1,-1
755,703143d6-12ae-4ad1-bf1c-7da6ecb18a55,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,22,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,22,,-1,-1
756,a500f507-3089-4a16-bd98-b4b693d676b4,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,22,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
757,a8eff37f-dd22-4502-89d1-ffd4353dac4d,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,3,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,3,,-1,-1
758,639bc3b5-430b-4406-ac60-c2c21dfaba86,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,23,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
759,1689065c-f73b-43a5-b2a5-bd7403f7e3a7,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,46,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,46,,-1,-1
760,8416ad91-60df-4180-b0a8-4ab98a2b8753,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
