index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1038,0bc6b24d-c3e9-492f-ad23-ce0af541146d,06Ran@3,BUYER,RandomAgent,_SystemAgent,51,4,48,14,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1039,fe08b256-764f-47ff-a0af-7c59d8413f9f,05Ran@2,07Ran@3,RandomAgent,RandomAgent,22,1,24,14,-1,14,07Ran@3|05Ran@2,"[quantity: (1, 8), time: (14, 34), unit_price: (1, 34)]",05Ran@2,07Ran@3,p3,07Ran@3,True,3,10,-1,05Ran@2:product(1.0),-1,-1
1040,32155c7e-0534-44bf-b44a-f558e79e9487,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,51,2,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,51,,-1,-1
1041,77a76ecc-d9d0-4fe1-9f63-b6a682cbb9fa,06Ran@3,BUYER,RandomAgent,_SystemAgent,51,1,48,14,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1042,0f8cbfd7-11ce-401e-ae21-c5e02beab1e0,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,51,3,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,51,,-1,-1
1043,83c0275c-8e96-49e3-bd82-1e3e2fd2a2a0,04Dec@2,06Ran@3,DecentralizingAgent,RandomAgent,17,4,29,14,-1,14,06Ran@3|04Dec@2,"[quantity: (1, 6), time: (14, 18), unit_price: (1, 34)]",04Dec@2,06Ran@3,p3,06Ran@3,True,3,15,-1,04Dec@2:product(1.0),-1,-1
1044,2b769c76-ce99-4ef6-8aba-2f746bfb10f1,05Ran@2,06Ran@3,RandomAgent,RandomAgent,15,3,25,14,-1,14,06Ran@3|05Ran@2,"[quantity: (1, 6), time: (14, 18), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,16,-1,05Ran@2:product(1.0),-1,-1
1045,f824c769-b6a6-4881-bc72-882edd988a61,07Ran@3,BUYER,RandomAgent,_SystemAgent,51,2,48,14,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1046,8a16a5bd-3348-4aa7-a4a6-7f32e660772d,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,21,4,66,14,-1,14,04Dec@2|07Ran@3,"[quantity: (1, 4), time: (19, 24), unit_price: (34, 68)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,13,-1,04Dec@2:product(1.0),-1,-1
1047,539cf95b-4e63-45ad-bfc8-7985da6acc6a,05Ran@2,06Ran@3,RandomAgent,RandomAgent,20,9,32,14,-1,14,06Ran@3|05Ran@2,"[quantity: (1, 9), time: (14, 34), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,9,-1,05Ran@2:product(1.0),-1,-1
1048,69a9bc33-8e1b-4b34-8d1a-4b4dde59ef6c,06Ran@3,BUYER,RandomAgent,_SystemAgent,51,2,48,14,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1049,379256be-956e-482a-b0e0-9726780e71a9,07Ran@3,BUYER,RandomAgent,_SystemAgent,51,2,48,14,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1050,3665886f-1add-4b50-9c13-21d9a5f22fdc,07Ran@3,BUYER,RandomAgent,_SystemAgent,51,1,48,14,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1051,73f73278-235f-49f5-9133-7b441538f108,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,51,2,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,51,,-1,-1
1052,520f6918-e32f-4679-b181-b1f057a616a8,05Ran@2,07Ran@3,RandomAgent,RandomAgent,15,12,16,14,-1,14,07Ran@3|05Ran@2,"[quantity: (1, 12), time: (14, 18), unit_price: (1, 34)]",05Ran@2,07Ran@3,p3,07Ran@3,True,3,10,-1,05Ran@2:product(1.0),-1,-1
1053,83913169-c293-4b7a-a110-d7d16e3cbe7d,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,32,1,29,14,-1,14,07Ran@3|04Dec@2,"[quantity: (1, 8), time: (14, 34), unit_price: (1, 34)]",04Dec@2,07Ran@3,p3,07Ran@3,True,3,12,32,,-1,-1
1054,a56c6b41-a06e-45cf-b86a-2ba960e959b0,07Ran@3,BUYER,RandomAgent,_SystemAgent,51,2,48,14,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1055,39725b84-068b-47ae-ac58-eae307e0eff2,06Ran@3,BUYER,RandomAgent,_SystemAgent,51,2,48,14,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
