index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
34,36,0,0,0,10.000000000000002,20,10.0,10.728904905416368,35,10.857142857142858,44.15970598943746,5,47.0,41.99999999999999,0,,20,4.189000000000001,8603,328,0,0.0,3280.0000000000005,False,-0.500633775351014,15,4.850000000000001,6147.0,372,0,0.0,3720.0000000000005,False,-0.609643135725429,0,0.2,30955,165,224,1.0,11662.043451027694,False,0.15923555054718586,0,0.2,30702,141,233,1.0,11801.987087202637,False,0.153467795153352,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42414,0,55,0.5,2309.9999999999995,False,-0.06933675104133291,0.4166666666666667,165636,0.0,0.0,9,0,0,12,7,7.0,6,18,34,294.0,250.0,18,18,34,435,1.536279291845858,49.524523680098355
35,34,0,0,0,10.0,20,10.0,10.717355323975488,25,10.6,44.15970598943746,0,,41.99999999999999,0,,20,4.369000000000001,8058,341,0,0.0,3410.0,False,-0.5240347113884556,5,4.885000000000001,6007.0,379,0,0.0,3790.0,False,-0.6147620904836193,0,0.2,30795,170,234,1.0,12155.321606604199,False,0.16196580226584617,0,0.2,30597,141,243,1.0,12241.955656113847,False,0.15709128755733534,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42414,0,55,0.0,2309.9999999999995,False,-0.06933675104133291,0.3333333333333333,164686,0.0,0.0,9,0,0,8,5,5.0,7,15,38,270.0,267.0,15,19,38,200,1.27010468672961,50.794628366827965
36,38,0,0,0,10.0,20,10.0,10.739015573195582,40,10.875,44.45109633848947,10,47.0,41.99999999999999,0,,15,4.4990000000000006,7678,352,0,0.0,3520.0,False,-0.5398790951638065,25,5.130000000000001,5337.0,388,0,0.0,3880.0,False,-0.6452320592823713,0,0.2,30760,185,239,1.0,12610.529905940166,False,0.1680353245192729,0,0.2,30667,146,248,1.0,12591.768165631944,False,0.16480900270431328,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41944,0,65,1.0,2729.9999999999995,False,-0.07489052654063869,0.5,163201,0.0,0.0,9,0,0,11,8,8.0,6,17,39,306.0,255.0,17,21,39,670,1.2227373467758298,52.017365713603795
37,39,0,0,0,10.0,20,10.0,10.731582728476633,30,10.666666666666666,44.45109633848947,0,,41.99999999999999,0,,5,4.534000000000001,7538,359,0,0.0,3590.0,False,-0.5449980499219969,25,5.355000000000001,4627.0,401,0,0.0,4010.0,False,-0.6766770670826833,0,0.2,30650,185,249,1.0,13053.665793052056,False,0.1715511579909252,0,0.2,30457,156,258,1.0,13142.509760972638,False,0.1668690284715066,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41944,0,65,0.0,2729.9999999999995,False,-0.07489052654063869,0.3333333333333333,162031,0.0,0.0,7,0,0,13,6,6.0,8,21,42,333.0,279.0,21,18,42,200,1.3524983925744891,53.369864106178284
38,42,0,0,0,10.0,20,10.0,10.712760629543657,35,10.571428571428571,44.711916535611785,10,47.0,41.99999999999999,0,,10,4.6290000000000004,7248,372,0,0.0,3720.0,False,-0.5559672386895476,25,5.580000000000001,3972.0,408,0,0.0,4080.0,False,-0.7069032761310452,0,0.2,30385,200,259,1.0,13722.938508632184,False,0.17374560408143236,0,0.2,30822,156,258,1.0,13206.86512439665,False,0.17938526335985638,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41474,0,75,1.0,3149.9999999999995,False,-0.08044430203994446,0.5,160716,0.0,0.0,11,0,0,9,7,7.0,9,18,41,309.0,280.0,18,24,41,670,1.4042892437428236,54.77415334992111
39,41,0,0,0,10.0,20,10.0,10.701364193836312,40,10.625,45.045282034856264,15,47.0,41.99999999999999,0,,20,4.819000000000001,6708,384,0,0.0,3840.0,False,-0.5793681747269891,20,5.755000000000002,3477.0,416,0,0.0,4160.0,False,-0.7290854134165367,0,0.2,30590,215,259,1.0,13967.52134870258,False,0.18405951767407078,0,0.2,30897,161,263,1.0,13569.828810374844,False,0.18746775927858775,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,40769,5,85,1.0,3795.2264101742808,False,-0.08861234208934875,0.5,159256,0.0,0.0,13,0,0,11,8,8.0,7,18,46,324.0,292.0,18,23,46,905,1.3911047214642167,56.165258071385324
40,46,0,0,0,9.999999999999998,20,10.0,10.699583162079646,15,10.666666666666666,45.14536135137987,5,47.0,41.99999999999999,0,,10,4.899000000000001,6413,398,0,0.0,3979.999999999999,False,-0.5903373634945398,5,5.785000000000001,3347.0,422,0,0.0,4219.999999999999,False,-0.733960608424337,0,0.2,30590,205,269,1.0,14337.516751747513,False,0.18988933841344216,0,0.2,30972,166,268,1.0,13875.087647075026,False,0.19464103058448654,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000004,40534,0,95,1.0,3989.9999999999995,False,-0.09155185303855602,0.5,158671,0.0,0.0,10,0,0,16,3,3.0,7,23,42,369.0,309.0,23,23,42,435,1.4742111340165138,57.63946920540184
41,42,0,0,0,9.999999999999998,20,10.0,10.713277580702401,30,10.833333333333334,45.245188396098136,5,47.0,42.0,6,42.0,10,4.989000000000001,6168,407,0,0.0,4069.999999999999,False,-0.6000877535101404,20,5.980000000000001,2822.0,433,0,0.0,4329.999999999999,False,-0.7568740249609984,0,0.2,30665,210,274,1.0,14646.969912478395,False,0.1971286974518387,0,0.2,30807,171,278,1.0,14410.132840415392,False,0.19787181861808512,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,40551,0,94,0.5,3948.0,False,-0.09163729573854534,0.4166666666666667,157828,0.0,0.0,13,0,0,11,6,6.0,8,19,42,327.0,308.0,19,23,42,687,1.4356046365574002,59.07507384195924
42,42,0,0,0,9.999999999999998,20,10.0,10.725540569991182,30,10.833333333333334,45.245188396098136,0,,42.0,7,42.0,25,5.229000000000001,5493,417,0,0.0,4169.999999999999,False,-0.6305577223088924,5,6.010000000000002,2652.0,443,0,0.0,4429.999999999999,False,-0.7627242589703588,0,0.2,30450,220,284,1.0,15209.25242988993,False,0.19921300270837808,0,0.2,30697,171,288,1.0,14864.681695544754,False,0.20156748015543374,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,40845,0,87,0.0,3654.0,False,-0.08849727651393784,0.3333333333333333,156952,0.0,0.0,11,0,0,14,6,6.0,5,19,37,329.0,277.0,19,23,37,494,1.4079965390264988,60.48307038098574
43,37,0,0,0,9.999999999999998,20,10.0,10.707520736351885,35,10.571428571428571,45.245188396098136,0,,42.00000000000001,8,42.0,25,5.454000000000001,4768,431,0,0.0,4309.999999999999,False,-0.6624902496099844,10,6.105000000000001,2432.0,449,0,0.0,4489.999999999999,False,-0.7719871294851794,0,0.2,30345,220,294,1.0,15657.739950450266,False,0.20297072370167127,0,0.2,30432,186,298,1.0,15474.664998998696,False,0.20282773451924954,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41181,0,79,0.0,3318.0000000000005,False,-0.08490868311438642,0.3333333333333333,155973,0.0,0.0,12,0,0,8,7,7.0,7,15,36,255.0,274.0,15,22,36,536,1.1824853168800473,61.665555697865784
44,36,0,0,0,9.999999999999998,20,10.0,10.698390212830931,25,10.6,43.546547736288105,11,30.636363636363637,42.00000000000001,11,42.0,20,5.629000000000001,4238,442,0,0.0,4419.999999999999,False,-0.6856474258970359,5,6.145000000000001,2277.0,458,0,0.0,4579.999999999999,False,-0.7773498439937597,0,0.2,30475,220,299,1.0,15374.063619972949,False,0.20259766835743467,0,0.2,30374,191,302,1.0,15194.449947009716,False,0.19658478471953048,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41306,1,78,1.0,3319.5465477362886,False,-0.08222208108793881,0.5,155485,0.0,0.0,14,0,0,9,5,5.0,6,15,39,270.0,254.0,15,21,39,999,1.8406405579298735,63.50619625579566
45,39,0,0,0,10.0,20,10.0,10.712115138426016,30,10.833333333333334,43.73810183291826,5,47.0,42.00000000000001,11,42.0,10,5.709000000000001,3983,452,0,0.0,4520.0,False,-0.6956415756630265,20,6.340000000000002,1762.0,468,0,0.0,4680.0,False,-0.8000195007800313,0,0.2,30310,225,309,1.0,15925.299372517597,False,0.20608356241952527,0,0.2,30449,196,307,1.0,15527.171829837405,False,0.20419077663374727,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41533,0,73,0.6,3066.0000000000005,False,-0.08008117056498985,0.43333333333333335,154852,0.0,0.0,14,0,0,13,6,6.0,7,20,39,315.0,268.0,20,19,39,897,1.535138089209795,65.04133434500545
46,39,0,0,0,10.0,20,10.0,10.68525157926359,25,10.4,44.24709104824173,15,47.0,42.00000000000001,9,42.0,0,5.699000000000001,3883,462,0,0.0,4620.0,False,-0.6980791731669267,25,6.570000000000001,1072.0,478,0,0.0,4780.0,False,-0.8312207488299532,0,0.2,30620,230,309,1.0,16129.958997137319,False,0.21907728543058205,0,0.2,30584,196,312,1.0,15899.401716587083,False,0.21431005131231015,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41206,5,74,1.0,3329.235455241209,False,-0.08425466778552586,0.5,154180,0.0,0.0,16,0,0,10,5,5.0,7,17,38,306.0,305.0,17,22,38,1283,1.2374344281852245,66.27876877319068
47,38,0,0,0,10.0,20,10.0,10.666180805479408,30,10.5,44.39749720762723,5,47.0,42.00000000000001,8,42.0,15,5.849000000000001,3528,470,0,0.0,4700.0,False,-0.7134360374414976,15,6.695000000000001,672.0,490,0,0.0,4900.0,False,-0.8477964118564743,0,0.2,30460,235,319,1.0,16669.354098520747,False,0.2225341773314964,0,0.2,30664,201,317,1.0,16217.908956719193,False,0.22184963534363594,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,41307,0,76,1.0,3192.0000000000005,False,-0.08356296058955463,0.5,153446,0.0,0.0,13,0,0,9,6,6.0,9,18,43,324.0,300.0,18,20,43,771,1.269907590933144,67.54867636412382
48,43,0,0,0,10.0,20,10.0,10.683337835455417,30,10.833333333333334,44.39749720762723,0,,42.00000000000001,12,42.0,20,6.034000000000001,2998,482,0,0.0,4820.0,False,-0.7363494539781591,10,6.780000000000001,432.0,498,0,0.0,4980.0,False,-0.8575468018720749,0,0.2,30240,245,329,1.0,17224.19435099594,False,0.22434365409819335,0,0.2,30559,201,327,1.0,16665.33249182064,False,0.22559059168406154,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000004,41811,0,64,0.0,2688.0000000000005,False,-0.07818007049022749,0.3333333333333333,152855,0.0,0.0,13,0,0,16,6,6.0,7,23,41,399.0,300.0,23,20,41,704,1.3672571973875165,68.91593356151134
49,41,0,0,0,10.0,20,10.0,10.647507037189028,30,10.333333333333334,44.54644273385659,5,47.0,42.0,13,42.0,25,6.264000000000001,2273,495,0,0.0,4950.0,False,-0.7685257410296412,5,6.820000000000001,297.0,505,0,0.0,5050.0,False,-0.8624219968798752,0,0.2,30265,255,334,1.0,17593.6261675913,False,0.23095241810719594,0,0.2,30459,201,337,1.0,17152.300115784663,False,0.2301121878767318,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42122,0,56,0.5,2352.0,False,-0.07512549396560932,0.4166666666666667,152231,0.0,0.0,15,0,0,10,6,6.0,7,17,39,276.0,278.0,17,24,39,981,1.231601582840085,70.14753514435142
50,39,0,0,0,10.0,20,10.0,10.66071021204388,25,10.8,44.54644273385659,0,,42.0,13,42.0,20,6.439000000000001,1748,506,0,0.0,5060.0,False,-0.7914391575663027,5,6.865000000000001,142.0,514,0,0.0,5140.0,False,-0.8677847113884556,0,0.2,30155,255,344,1.0,18042.457404517856,False,0.23455799017612358,0,0.2,30299,206,347,1.0,17653.721932329274,False,0.23297075492908434,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42668,0,43,0.0,1806.0,False,-0.06929402969133824,0.3333333333333333,151827,0.0,0.0,15,0,0,13,5,5.0,6,19,36,327.0,222.0,19,20,36,746,1.143812813796103,71.29134795814753
51,36,0,0,0,10.000000000000002,20,10.0,10.667069458330328,35,10.714285714285714,44.54644273385659,0,,42.0,8,42.0,10,6.519000000000001,1518,513,0,0.0,5130.000000000001,False,-0.8009457878315133,25,7.110000000000001,-568.0,527,0,0.0,5270.000000000001,False,-0.8992297191887676,0,0.2,30045,255,354,1.0,18489.543439659465,False,0.23813606402892043,0,0.2,30034,221,357,1.0,18260.502406277803,False,0.23418054401219252,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,43004,0,35,0.0,1470.0,False,-0.06570543629178682,0.3333333333333333,150848,0.0,0.0,13,0,0,10,7,7.0,7,17,33,306.0,219.0,17,19,33,536,1.1048186225816607,72.39616658072919
52,33,0,0,0,10.000000000000002,20,10.0,10.655925537906386,35,10.571428571428571,43.79478803931733,19,40.68421052631579,42.0,12,42.0,20,6.709000000000001,968,526,0,0.0,5260.000000000001,False,-0.8245904836193447,15,7.235000000000001,-7234.0,534,0,0.0,5340.000000000001,False,-1.2225039001560063,0,0.2,30250,270,354,1.0,18380.45486115306,False,0.2428773652215842,0,0.2,30232,221,358,1.0,18033.493661952914,False,0.23684324932960826,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42735,9,33,1.0,1780.153092353856,False,-0.06813891816347482,0.5,143766,0.0,0.0,13,0,0,13,10,390.775,6,19,38,327.0,177.0,19,14,38,1407,1.0726637663319707,73.46883034706116
53,38,0,0,1,10.000000000000002,13,10.0,10.651191599911172,25,10.6,43.96736169659433,5,47.0,42.00000000000001,9,42.0,25,6.939000000000001,263,538,0,0.0,5380.000000000001,False,-0.8560354914196567,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30090,275,364,1.0,18933.19734753591,False,0.24654456476752767,0,0.2,30362,221,363,1.0,18314.06563944411,False,0.2453607544109303,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42878,4,34,1.0,1603.8694467863775,False,-0.06696711046901226,0.5,150408,0.0,0.125,9,0,0,15,9,4266.184722222222,5,20,32,345.0,174.0,20,18,32,733,1.115857481956482,74.58468782901764
54,32,0,0,0,10.000000000000002,14,10.0,10.663838324948587,10,11.0,44.13854528132765,5,47.0,42.00000000000001,9,42.0,10,7.014000000000001,-32,552,0,0.0,5520.000000000001,False,-0.8670046801872074,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30270,270,369,1.0,19166.359556546024,False,0.2558907061504747,0,0.2,30307,216,373,1.0,18767.06646812411,False,0.2507652360023336,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,43021,0,34,0.9,1428.0000000000002,False,-0.06579087899177614,0.48333333333333334,150381,0.0,0.125,9,0,0,10,9,4716.962500000001,3,13,16,288.0,198.0,16,16,16,753,0.7990392707288265,75.38372709974647
55,16,0,0,0,10.000000000000002,7,10.0,10.670262826854533,20,10.75,44.59168623460289,15,47.0,42.00000000000001,8,42.0,20,7.2040000000000015,-1214,559,0,0.0,5590.000000000001,False,-0.9229231669266771,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30685,265,369,1.0,19281.95186968492,False,0.27078990120198076,0,0.2,30382,221,378,1.0,19213.785481414743,False,0.2601674200582161,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42652,5,36,1.0,1734.9584311730146,False,-0.07039454842280236,0.5,149320,0.0,0.125,6,0,0,8,16,7784.316111111111,2,10,7,165.0,33.0,10,6,7,1041,0.41179687809199095,75.79552397783846
56,7,0,0,0,10.000000000000002,9,10.0,10.68337857657754,10,11.0,44.59168623460289,0,,42.00000000000001,11,42.0,10,7.284000000000002,-14708,568,0,0.0,5680.000000000001,False,-1.578588143525741,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30630,260,379,1.0,19677.927512824655,False,0.2752958672805069,0,0.2,30327,216,388,1.0,19609.18403156667,False,0.2646642931895292,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000004,43114,0,30,0.5,1260.0000000000002,False,-0.06559863291680017,0.4166666666666667,136178,0.0,0.125,5,0,0,1,10,6862.5773148148155,0,1,7,18.0,33.0,1,6,7,462,0.23731709737330675,76.03284107521176
57,7,0,0,0,10.000000000000002,0,,10.68337857657754,0,,44.59168623460289,0,,42.0,9,42.0,0,7.274000000000001,-15884,568,0,0.0,5680.000000000001,False,-1.6359204368174727,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30630,250,389,1.0,20017.01058940491,False,0.28063861893620057,0,0.2,30327,206,398,1.0,19948.267108146923,False,0.27000704484522287,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,43492,0,21,0.0,882.0,False,-0.06156146534230482,0.3333333333333333,135380,0.0,0.125,4,0,0,1,0,0.0,0,1,5,18.0,33.0,1,6,5,378,0.16393609158694744,76.19677716679871
58,5,0,0,0,10.000000000000002,0,,10.68337857657754,0,,44.59168623460289,0,,42.0,9,42.0,0,7.274000000000001,-17154,568,0,0.0,5680.000000000001,False,-1.6978354134165368,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30630,240,399,1.0,20356.09366598516,False,0.2859813705918942,0,0.2,30327,196,408,1.0,20287.350184727176,False,0.27534979650091657,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,43870,0,12,0.0,504.0,False,-0.057524297767809464,0.3333333333333333,134488,0.0,0.125,3,0,0,0,0,0.0,0,0,4,0.0,15.0,0,5,4,378,0.10586527083069086,76.3026424376294
59,4,0,0,0,10.000000000000002,0,,10.68337857657754,0,,44.59168623460289,0,,42.0,8,42.0,0,7.274000000000001,-18526,568,0,0.0,5680.000000000001,False,-1.764723088923557,0,7.2200000000000015,-20924.277777777777,535,0,0.0,5350.000000000001,True,-1.8896878791818341,0,0.2,30630,230,409,1.0,20695.176742565414,False,0.29132412224758786,0,0.2,30327,186,418,1.0,20626.43326130743,False,0.2806925481566102,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,44206,0,4,0.0,168.0,False,-0.053935704368258036,0.3333333333333333,133452,0.0,0.125,3,0,0,0,0,0.0,0,0,0,0.0,12.0,0,4,0,336,0.08032114710658789,76.38296358473599
