index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1036,17a3f659-1779-42c5-9d93-b1081904a5c1,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,49,5,41,42,-1,42,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (44, 49), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,49,,-1,-1
1037,48c29745-ed94-48e5-b1bc-6ff54c0e11af,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,46,5,43,42,-1,42,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (46, 51), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,46,,-1,-1
1038,cf325758-6a5e-4417-9f94-9a0fef575df9,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,45,5,43,42,-1,42,03Dec@1|04Dec@2,"[quantity: (1, 5), time: (45, 50), unit_price: (28, 56)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,45,,-1,-1
1039,75e0c6f6-5cbb-4b0a-a14a-d76d1d4eb5ac,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,52,5,41,42,-1,42,03Dec@1|04Dec@2,"[quantity: (1, 5), time: (47, 52), unit_price: (28, 56)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,52,,-1,-1
1040,43dd654d-2beb-40e2-b23a-015990e561d7,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,48,5,18,43,-1,43,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (43, 53), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
1041,b6f8ebb0-95fe-4e54-87e1-d7bf16a420e9,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,50,15,26,43,-1,43,00Ind@0|03Dec@1,"[quantity: (1, 15), time: (48, 53), unit_price: (18, 36)]",00Ind@0,03Dec@1,p1,00Ind@0,False,1,17,50,,-1,-1
1042,d28c4528-6293-4694-aa91-0f961f69a2b3,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,44,1,1,43,-1,43,03Dec@1|01Ran@0,"[quantity: (1, 3), time: (43, 50), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
1043,f6c47b1e-ca89-430d-bc64-af4fd30168e5,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,46,5,1,44,-1,44,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (44, 47), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,8,-1,01Ran@0:product(1.0),-1,-1
1044,5f7a7017-e1f2-493c-b389-ae63281caabf,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,52,5,41,44,-1,44,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (47, 52), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,52,,-1,-1
1045,bd11c469-01dc-4de4-9a65-b47d4cd98b29,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,47,2,1,44,-1,44,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (44, 53), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,10,-1,01Ran@0:product(1.0),-1,-1
1046,a4c74e9c-2765-4e6e-94b6-0c4095220d5f,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,49,5,10,44,-1,44,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (44, 53), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,49,,-1,-1
1047,dd9b976c-3e6a-4b2b-a4ec-47c31ec7cf92,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,45,4,5,44,-1,44,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (44, 45), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
1048,4ddf0f36-d032-45ec-9468-1b07fafecea0,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,45,5,10,44,-1,44,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (44, 45), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,45,,-1,-1
1049,e3d76ee1-1453-4cec-968a-8a4d5e323272,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,50,15,41,45,-1,45,03Dec@1|05Buy@2,"[quantity: (1, 16), time: (50, 55), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,50,,-1,-1
1050,ace348e3-5a98-4d76-9790-982a9197f213,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,52,5,41,45,-1,45,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (47, 52), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,52,,-1,-1
1051,10013c2b-0b22-4f57-8305-78c114cd7d01,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,50,1,8,46,-1,46,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (46, 51), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
1052,fe5e2a3b-84ea-4ee2-8aab-c928c644e6db,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,56,14,43,46,-1,46,03Dec@1|05Buy@2,"[quantity: (1, 15), time: (51, 56), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,56,,-1,-1
1053,8382882f-f1d9-445a-8621-a1749c503f04,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,50,8,15,46,-1,46,05Buy@2|03Dec@1,"[quantity: (1, 12), time: (46, 50), unit_price: (1, 28)]",03Dec@1,05Buy@2,p2,05Buy@2,True,2,17,50,,-1,-1
1054,3fdcedcf-2dc6-4b5d-a77c-6f9725dbede7,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,52,5,41,46,-1,46,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (47, 52), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,52,,-1,-1
1055,4f5fd4b6-3596-4f6c-8af8-d1b2c2bf5714,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,51,4,15,47,-1,47,05Buy@2|03Dec@1,"[quantity: (1, 5), time: (47, 51), unit_price: (1, 28)]",03Dec@1,05Buy@2,p2,05Buy@2,True,2,17,51,,-1,-1
1056,cd4426a5-8e64-41f8-a16e-f81ee6f7a7a7,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,52,5,41,47,-1,47,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (47, 52), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,52,,-1,-1
1057,b3e4ebd7-5672-4d09-bbb8-864f0c1f9380,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,52,2,7,48,-1,48,03Dec@1|01Ran@0,"[quantity: (1, 4), time: (48, 54), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
1058,9081c33c-fe86-487f-a9c2-85a3b85b9562,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,51,5,10,49,-1,49,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (49, 53), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,51,,-1,-1
1059,cbe9bba6-4364-4833-a982-ca6c2227e244,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,51,4,1,49,-1,49,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (49, 53), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,9,-1,01Ran@0:product(1.0),-1,-1
1060,4506e301-fcfb-4ec8-8f7e-8077ddae25aa,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,50,1,3,49,-1,49,03Dec@1|01Ran@0,"[quantity: (1, 2), time: (49, 54), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
