index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1966,0b3fd607-1bfb-4203-81e6-c631e6ebcc46,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,49,3,86,41,-1,41,04Dec@2|07Ran@3,"[quantity: (1, 3), time: (45, 50), unit_price: (43, 86)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,9,-1,04Dec@2:product(1.0),-1,-1
1967,0f36bf06-2850-40e7-856c-a71eaba96191,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,1,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1968,5db728ae-ffbd-4c69-9ea3-c15ce072e86e,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,1,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1969,590d8c43-08a3-4a66-97c2-107fd027beba,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,2,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1970,ae03315b-6aba-448f-b1a6-c001fd584772,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,45,1,73,42,-1,42,04Dec@2|07Ran@3,"[quantity: (1, 3), time: (45, 50), unit_price: (43, 86)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,16,45,,-1,-1
1971,1c242027-52fe-4958-948a-88e3d93f5dda,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,86,1,57,42,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,86,,-1,-1
1972,dabf763e-50f6-44f3-95eb-db588c8cd221,07Ran@3,BUYER,RandomAgent,_SystemAgent,86,2,57,42,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1973,7398a78f-a197-4961-bd35-586f2a119766,07Ran@3,BUYER,RandomAgent,_SystemAgent,86,2,57,42,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1974,3cc6a459-6abf-4dc9-817e-97a5d8021849,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,86,1,57,42,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,86,,-1,-1
1975,35d900b3-0805-4665-b587-aef55d43a749,07Ran@3,BUYER,RandomAgent,_SystemAgent,86,2,57,42,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1976,61936aee-45f7-4f16-9631-6401e7f984e5,07Ran@3,BUYER,RandomAgent,_SystemAgent,86,1,57,42,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1977,4875820e-02ef-46aa-9f04-8dfc78a9ebb1,04Dec@2,06Dec@3,DecentralizingAgent,DecentralizingAgent,50,1,65,42,-1,42,04Dec@2|06Dec@3,"[quantity: (1, 3), time: (45, 50), unit_price: (43, 86)]",04Dec@2,06Dec@3,p3,04Dec@2,False,3,17,-1,04Dec@2:product(1.0),-1,-1
