index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1192,44a12149-ecb4-41fd-a4de-fa43b4c42ecf,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,2,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,54,,-1,-1
1193,3385fa44-1828-4223-80cf-ca546f7b3e5f,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,16,5,12,14,-1,14,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (14, 16), unit_price: (1, 22)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
1194,207a9fc2-0f89-4a07-9006-83c6019297ee,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,1,58,14,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1195,8c781748-c747-4142-acb8-55619d92e9fb,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,54,,-1,-1
1196,3e3e6f5e-9c7d-484c-8dab-2850a2e45de7,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,22,1,44,14,-1,14,03Dec@1|04Dec@2,"[quantity: (1, 5), time: (19, 24), unit_price: (29, 58)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,22,,-1,-1
1197,869d62d0-08d1-4e12-82a0-bd95ea1f5c86,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,3,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,54,,-1,-1
1198,49d14bf2-283f-4862-a7f3-c5542bfdf3f1,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,54,,-1,-1
1199,e020019c-f1c9-41ae-9bc4-2c5f3fc68da3,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,15,4,12,14,-1,14,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (14, 15), unit_price: (1, 22)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1200,20884ba1-1c90-4ed7-9635-d92db63b44b7,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,4,58,14,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1201,c1ad509f-a51e-4d17-abac-66d30033ee06,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,54,,-1,-1
1202,e5631341-62bf-4244-912d-7e947142a92b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,54,,-1,-1
1203,1e724527-1011-4bff-959a-86342128267f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,4,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,54,,-1,-1
1204,f71c2070-5e21-4848-8d62-ff66d4a76825,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,2,58,14,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1205,8b46dc8d-532c-43ed-bfe3-eeb5ae086d37,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,54,,-1,-1
1206,3a5f2873-5275-4e3e-957b-1b21d81bcd45,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,15,5,11,14,-1,14,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (14, 18), unit_price: (1, 22)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1207,77d4ad6e-d572-44a1-873c-bd1346977f8b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,1,10,15,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1208,aebe0f92-051a-4b9e-a266-a3b391e67048,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,16,4,12,15,-1,15,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (15, 16), unit_price: (1, 22)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1209,71e7848c-ff64-4735-b751-ed6fb5485bd9,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,3,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1210,29ed22e7-ab14-48d0-a8a3-ed6890994bf1,01Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,16,5,11,15,-1,15,02Dec@1|01Buy@0,"[quantity: (1, 5), time: (15, 19), unit_price: (1, 22)]",01Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
1211,c726d6f1-e63c-40a9-868a-9d8f5cca6f36,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,16,5,11,15,-1,15,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (15, 19), unit_price: (1, 22)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
1212,fda9eb0b-579e-475c-99ff-6684bedbb499,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,2,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1213,8462dfcd-6369-436f-b10e-3ff2bb5bf604,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,3,10,15,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,55,,-1,-1
1214,997c0926-1e66-4d08-9fac-d0e2b2e440bf,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,2,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1215,17eb1a61-41ee-4c55-b799-8826679f1755,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,22,5,14,15,-1,15,04Dec@2|03Dec@1,"[quantity: (1, 5), time: (15, 24), unit_price: (1, 29)]",03Dec@1,04Dec@2,p2,04Dec@2,True,2,17,22,,-1,-1
1216,f9f47f3b-f322-4629-b7b5-3272de3669d9,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,1,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1217,0a937240-38d3-41cd-9d4e-1a0ee5e98188,04Dec@2,06Ind@3,DecentralizingAgent,IndDecentralizingAgent,18,1,64,15,-1,15,04Dec@2|06Ind@3,"[quantity: (1, 4), time: (18, 23), unit_price: (43, 86)]",04Dec@2,06Ind@3,p3,04Dec@2,False,3,17,18,,-1,-1
1218,34f6997c-d3db-48f4-b46f-d1f9bb27b599,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,1,10,15,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1219,5799ca97-46ae-424f-b715-d5cff4386b58,02Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,22,1,43,15,-1,15,02Dec@1|04Dec@2,"[quantity: (1, 1), time: (20, 25), unit_price: (29, 58)]",02Dec@1,04Dec@2,p2,02Dec@1,False,2,17,22,,-1,-1
1220,afd5015f-e1b7-436c-8032-8f09063c2b91,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,2,10,15,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1221,53e31ada-5853-4a30-869c-153c819c825e,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,5,10,15,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1222,750a79ef-2f3e-4bd2-9e3f-05ee76e14d71,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,23,1,65,15,-1,15,04Dec@2|07Buy@3,"[quantity: (1, 4), time: (18, 23), unit_price: (43, 86)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,23,,-1,-1
1223,02cfd83a-151d-4327-9175-ce1d57284c5c,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,1,10,15,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,55,,-1,-1
1224,6d8ceee7-ace0-42d3-97c4-ab43410fc379,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,2,10,15,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1225,7c10de29-398b-4760-9e41-c1ce0585ad3c,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,1,10,15,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1226,2ffcc797-b75a-4124-8227-78f125e4e2b8,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,18,5,12,15,-1,15,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (15, 18), unit_price: (1, 22)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1227,344f1115-bdad-4baf-bf0c-96bb26d296ce,04Dec@2,06Ind@3,DecentralizingAgent,IndDecentralizingAgent,22,13,66,15,-1,15,04Dec@2|06Ind@3,"[quantity: (1, 13), time: (19, 24), unit_price: (43, 86)]",04Dec@2,06Ind@3,p3,04Dec@2,False,3,17,-1,04Dec@2:product(0.6923076923076923),-1,-1
1228,120237b3-d957-4b57-93ce-2b4d6f9e890e,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,1,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1229,9bdbaf27-83fb-4331-92d8-c56e778bbce1,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,1,10,15,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,55,,-1,-1
1230,0b1513fc-73f1-46b8-8270-5ab468cd7dbb,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,3,10,15,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,55,,-1,-1
1231,d4f5a6d6-e8c2-4d53-83d1-df1e63db1f49,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,2,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1232,e363ad50-0beb-43c1-a907-fd3c54e0586d,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,20,1,65,15,-1,15,04Dec@2|07Buy@3,"[quantity: (1, 1), time: (15, 20), unit_price: (43, 86)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,20,,-1,-1
1233,f1fc2bfd-76a6-40fd-afc0-dd7bb1113781,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,1,58,15,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
