index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
2362,a43352c3-1842-4a4c-aca8-feed65f92cfd,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,122,6,10,74,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,122,,-1,-1
2363,e8ba6ebe-5a72-48eb-878d-42d4edecfe09,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,122,1,51,74,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2364,cb20355b-42f7-45b2-8eae-a4145798a313,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,122,5,10,74,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,122,,-1,-1
2365,8cff4aea-2f89-445e-9c81-5dfda9bc3ef3,06Ran@3,BUYER,RandomAgent,_SystemAgent,122,2,51,74,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2366,7bd2a368-5164-407c-85a6-300a5f4f5f6a,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,122,1,51,74,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
2367,1d52edb2-3820-4ee1-a862-1548de88b911,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,123,4,10,75,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,123,,-1,-1
2368,e99815d6-82fe-4dcf-b8a3-7af89316ec78,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,123,2,10,75,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,123,,-1,-1
2369,ed09340b-3cb5-4a15-a042-b7457bec3ed3,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,123,3,51,75,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
2370,488dc291-e293-4230-9c11-961191fd19c6,05Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,84,1,73,75,-1,75,05Ind@2|06Ran@3,"[quantity: (1, 5), time: (80, 85), unit_price: (37, 74)]",05Ind@2,06Ran@3,p3,05Ind@2,False,3,14,-1,05Ind@2:product(1.0),-1,-1
2371,c39ff817-37dd-4163-8143-38edb85c444a,06Ran@3,BUYER,RandomAgent,_SystemAgent,123,2,51,75,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
2372,17793887-c848-45b2-bd28-cc0f35edb3dd,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,123,2,51,75,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2373,383f1a2f-e555-4a27-a683-1b3c1cf52f47,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,123,4,10,75,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,123,,-1,-1
2374,5b4f5a18-05a3-4ef4-91a0-7fa968ad1234,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,123,2,10,75,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,123,,-1,-1
2375,c11ad615-f933-4512-a234-69c99cd1a237,05Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,80,3,55,75,-1,75,05Ind@2|07Buy@3,"[quantity: (1, 5), time: (80, 85), unit_price: (37, 74)]",05Ind@2,07Buy@3,p3,05Ind@2,False,3,17,80,,-1,-1
