index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3168,d3d58a0f-e688-4388-859d-0281d7dc7881,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,81,1,56,73,-1,73,03Dec@1|05Buy@2,"[quantity: (1, 2), time: (76, 81), unit_price: (37, 74)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,81,,-1,-1
3169,7c9a08dc-0fa5-465e-a27f-684640f936df,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,75,4,2,73,-1,73,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (73, 75), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,11,-1,01Ran@0:product(1.0),-1,-1
3170,fe7cc7c2-c7e2-4673-a331-d0977518094c,SELLER,01Ran@0,_SystemAgent,RandomAgent,142,1,10,73,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,142,,-1,-1
3171,9006e5c0-68e3-400b-8850-603dde460779,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,142,1,49,73,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3172,e18a1dea-835a-4882-aa21-9298c81a41c0,SELLER,00Ran@0,_SystemAgent,RandomAgent,142,1,10,73,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,142,,-1,-1
3173,f3a8169e-febe-4881-94c5-cdb93b2fcc35,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,142,3,49,73,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3174,fff6a45c-2810-4abb-bb90-96be86b6bfd5,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,77,3,5,74,-1,74,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (74, 77), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,16,-1,01Ran@0:product(1.0),-1,-1
3175,c231d872-42ff-4b14-8208-05a0ab7c24e7,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,2,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3176,490a71d9-4369-42de-81d0-6473ba9e5071,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,78,4,8,74,-1,74,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (74, 78), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
3177,ae75e09e-ca5b-4bdd-b344-9d0e0e594f8f,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,81,1,56,74,-1,74,03Dec@1|04Ind@2,"[quantity: (1, 2), time: (76, 81), unit_price: (37, 74)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,81,,-1,-1
