index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
712,16c484b1-f8ee-4707-8a89-2ad8412d199c,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,42,4,53,20,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,-1,06Dec@3:product(0.75),-1,-1
713,49255327-d4b1-4dc9-abe0-0234749d95a2,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,29,12,28,20,-1,20,04Dec@2|02Ind@1,"[quantity: (1, 12), time: (20, 29), unit_price: (1, 28)]",02Ind@1,04Dec@2,p2,04Dec@2,True,2,2,29,,-1,-1
714,2de3427d-9298-42c5-9090-855bb6fa43cd,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,21,3,2,20,-1,20,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (20, 24), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,14,-1,03Ran@1:product(1.0),-1,-1
715,9d7123ad-ccd7-4846-8fa5-c92b66308bcc,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,42,1,53,20,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
716,aebf3686-e1ee-4b14-bcd5-64ba3c87a73d,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,27,5,1,20,-1,20,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (20, 28), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,9,-1,03Ran@1:product(1.0),-1,-1
717,85ac230e-fe4f-416e-b863-f93bcacd24cc,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,28,5,15,20,-1,20,04Dec@2|02Ind@1,"[quantity: (1, 5), time: (20, 30), unit_price: (1, 28)]",02Ind@1,04Dec@2,p2,04Dec@2,True,2,17,28,,-1,-1
718,63feac4b-d443-4529-bfc6-4754e897cb25,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,3,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
719,e9e71ee7-c21e-4571-b540-bc6de168accd,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,24,4,15,20,-1,20,04Dec@2|02Ind@1,"[quantity: (1, 5), time: (20, 24), unit_price: (1, 28)]",02Ind@1,04Dec@2,p2,04Dec@2,True,2,17,24,,-1,-1
720,b851ea37-b43b-4244-a272-c05378fd4eef,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,42,1,10,20,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,42,,-1,-1
721,2d378fcf-a288-4c31-8e2c-85284a62051c,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,2,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,42,,-1,-1
722,a541b56d-91fc-4bfe-abc3-c94673e5de29,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,42,2,53,20,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
723,f20afce8-2df3-4ae1-91c2-ac9157316a11,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,23,5,12,20,-1,20,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (20, 23), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,16,-1,03Ran@1:product(1.0),-1,-1
724,c96fbfa1-b892-40c9-892c-997b4dab36ca,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,43,2,10,21,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,43,,-1,-1
