index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
665,381324aa-fd37-4068-a921-bc581cad4e82,SELLER,01Ran@0,_SystemAgent,RandomAgent,37,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,37,,-1,-1
666,99d65b53-62cc-48a3-a549-ee93e96e73b3,SELLER,01Ran@0,_SystemAgent,RandomAgent,51,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,51,,-1,-1
667,9e143ac0-5e23-4583-8d00-fa9514cfdb90,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,27,1,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
668,39df2c73-fbf0-46a4-8089-be8979484289,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,31,1,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
669,c681933b-0ac1-46bb-895a-f61794162f02,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,32,1,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
670,d9722075-e7e6-41df-953e-a09998a67472,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,31,3,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,31,,-1,-1
671,9e9da986-81f5-4fb3-9c5c-6264db8b0dde,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,32,3,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
672,608c2640-94c6-4880-8b62-a7880dc478c7,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,53,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,53,,-1,-1
673,de80ce90-a5be-460f-9b8a-55a67bc41408,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,26,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,26,,-1,-1
674,affa9ee9-ac16-4151-b896-777b28b90094,SELLER,01Ran@0,_SystemAgent,RandomAgent,45,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,45,,-1,-1
675,149adc31-84d3-4da1-bd0b-0e9361a7da2a,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,45,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
676,8d37471b-23ee-4697-9e7f-eed71cf1e257,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,55,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,55,,-1,-1
677,613bb842-5148-41f9-9d74-471170249431,SELLER,01Ran@0,_SystemAgent,RandomAgent,30,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,30,,-1,-1
678,bca6ec1c-c4f6-4ac4-ad29-f290efc7b271,SELLER,01Ran@0,_SystemAgent,RandomAgent,54,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,54,,-1,-1
679,8a44de33-a65f-4821-8767-d36c88aeb3b3,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,0,3,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,0,,-1,-1
680,5a77b727-c1e4-46c7-ae3e-f4943c8ffc70,SELLER,01Ran@0,_SystemAgent,RandomAgent,59,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,59,,-1,-1
